Skill1,Skill2,Similarity
maintain dredging equipment,maintaining of dredging equipment,1
maintain dredging equipment,inspect dredging equipment,1
maintain dredging equipment,maintain engraving equipment,0
maintain dredging equipment,devices indicating time,0
work out orchestral sketches,make up an orchestral sketches,1
work out orchestral sketches,work out sketches for orchestra,1
work out orchestral sketches,develop orchestral sketches,1
work out orchestral sketches,work out an orchestra sketch,1
work out orchestral sketches,a type of vehicle engine,0
test film processing machines,examine film processing machines,1
test film processing machines,analyse film processing machines,1
test film processing machines,film processing machine test,1
test film processing machines,evaluate film processing machines,1
test film processing machines,assess film processing machines,1
test film processing machines,film processing machine testing,1
test film processing machines,film processing machines tests,1
test film processing machines,check film processing machines,1
test film processing machines,tend dairy processing machines,0
test film processing machines,tend dairy processing machinery,0
apply spot welding techniques,use oxyacetylene brazing techniques,1
apply spot welding techniques,use spot welding techniques,1
apply spot welding techniques,handle oxyacetylene brazing techniques,1
apply spot welding techniques,administer oxyacetylene brazing techniques,1
apply spot welding techniques,administer spot welding techniques,1
apply spot welding techniques,utilise oxyacetylene brazing techniques,1
apply spot welding techniques,utilise spot welding techniques,1
apply spot welding techniques,handle spot welding techniques,1
apply spot welding techniques,apply specific writing techniques,0
apply spot welding techniques,assessing environmental influences on bovine feet,0
monitor compliance with licensing agreements,oversee compliance with licensing agreements,1
monitor compliance with licensing agreements,supervise compliance with licensing agreements,1
monitor compliance with licensing agreements,monitoring compliance with a licensing agreements,1
monitor compliance with licensing agreements,view compliance with licensing agreements,1
monitor compliance with licensing agreements,watch compliance with licensing agreements,1
monitor compliance with licensing agreements,monitor compliance with a licensing agreement,1
monitor compliance with licensing agreements,monitoring compliance with licensing agreements,1
monitor compliance with licensing agreements,launch licensing agreements,0
monitor compliance with licensing agreements,developing licensing agreements,0
monitor compliance with licensing agreements,evaluate licensing agreements,0
operate hand drill,operation of hand  drill,1
operate hand drill,drill with hand drill,1
operate hand drill,hand drill usage,1
operate hand drill,hand drill operation,1
operate hand drill,use of hand drill,1
operate hand drill,drill by hand,1
operate hand drill,operating hand drill,1
operate hand drill,using hand drill,1
operate hand drill,use hand drill,1
operate hand drill,operate handheld device,0
operate hand drill,operate handheld devices,0
operate hand drill,check project regulations,0
operate hand drill,researching immune system malfunctions,0
use polishing compounds,spreading polishing compounds,1
use polishing compounds,using polishing compounds,1
use polishing compounds,polishing compound spreading,1
use polishing compounds,polishing compounds using,1
use polishing compounds,spread polishing compounds,1
pet product industry,pet product manufacture,1
pet product industry,the pet product industry,1
pet product industry,pet product business,1
pet product industry,pet product company,1
pet product industry,pet product trader,1
pet product industry,pet product industries,1
pet product industry,pet production industry,1
monitor conditions affecting train movement,perform train operating conditions monitoring,1
monitor conditions affecting train movement,monitor factors affecting train movement,1
monitor conditions affecting train movement,conduct train operations with an awareness of conditions that influence movement,1
monitor conditions affecting train movement,monitor conditions affecting the movement of trains,1
monitor conditions affecting train movement,ensure factors that affect train movement are accounted for in operations,1
monitor conditions affecting train movement,monitor conditions influencing train movement,1
monitor conditions affecting train movement,ensure conditions that affect train movement are accounted for in operations,1
monitor conditions affecting train movement,monitor factors affecting the movement of trains,1
monitor conditions affecting train movement,perform train operations with an awareness of conditions that affect movement,1
monitor conditions affecting train movement,monitor conditions influencing the movement of trains,1
monitor conditions affecting train movement,fire extinguishing,0
operate money-processing machine,handle money-processing machine,1
operate money-processing machine,work money-processing machine,1
comprehend financial business terminology,understand financial business terminology,1
comprehend financial business terminology,comprehending  business finance terminology,1
comprehend financial business terminology,know financial business terminology,1
comprehend financial business terminology,comprehend  business finance terminology,1
comprehend financial business terminology,recognise financial business terminology,1
comprehend financial business terminology,comprehending financial business terminology,1
comprehend financial business terminology,technical terminology,0
prepare medication from prescription,put together medication from prescription,1
prepare medication from prescription,prepare medication according to prescription,1
prepare medication from prescription,prepare pharmaceutical form of medicinal products from prescription,1
prepare medication from prescription,prepare pharmaceutical form of medication from prescription,1
prepare medication from prescription,prepare medication according to prescriptions,1
prepare medication from prescription,prepare medicinal products from prescription,1
prepare medication from prescription,prepare medicine from prescription,1
carry out maintenance on cage equipment and machinery,cage equipment and machinery repairs carrying out,1
carry out maintenance on cage equipment and machinery,carry out repairs on cage equipment and machinery,1
carry out maintenance on cage equipment and machinery,carrying out repairs on cage equipment and machinery,1
carry out maintenance on cage equipment and machinery,carrying out maintenance on cage equipment and machinery,1
carry out maintenance on cage equipment and machinery,carry out maintenance on cage equipment and machinery,1
carry out maintenance on cage equipment and machinery,cage equipment and machinery maintenance carrying out,1
carry out maintenance on cage equipment and machinery,carry out maintenance on lighting equipment,0
carry out maintenance on cage equipment and machinery,carry out maintenance of aquaculture equipment,0
vocational rehabilitation,occupational rehabilitation,1
vocational rehabilitation,vocational rehabilitation counselling,1
vocational rehabilitation,vocational rehabilitation services,1
vocational rehabilitation,2D computer-aided design for footwear,0
monitor own performance as a sports official,monitor own performance as an official of sport,1
monitor own performance as a sports official,monitor one's performance as a sport official,1
monitor own performance as a sports official,analyse one's performance as a sport umpire,1
monitor own performance as a sports official,examine own performance as a sports officer,1
monitor own performance as a sports official,wrap rubber goods,0
monitor own performance as a sports official,watch meat packaging machines,0
manage clients' money matters,manage clients' financial matters,1
manage clients' money matters,handle clients' finances,1
manage clients' money matters,managing clients' money matters,1
manage clients' money matters,oversee clients' money matters,1
manage clients' money matters,manage clients' finances,1
manage clients' money matters,handle clients' financial  matters,1
manage clients' money matters,oversee clients' financial matters,1
manage clients' money matters,manage client's money matters,1
manage clients' money matters,manage clients' money matter,1
manage clients' money matters,oversee clients' finances,1
ecology,science of ecology,1
ecology,ecological principles,1
ecology,principles of environmental planning and design,1
ecology,field of environmental planning and design,1
ecology,considerations in environmental planning and design,1
ecology,field of principles of ecology,1
ecology,principles of ecology,1
ecology,theology,0
collect mail,collecting mail,1
collect mail,pick up mail,1
collect mail,pick up post,1
collect mail,collect post,1
tend to guests with special needs,tending to guests with special needs,1
tend to guests with special needs,give aid to guests with special needs,1
tend to guests with special needs,tend to guest with special needs,1
tend to guests with special needs,help guests with special needs,1
monitor pulp quality,monitor pulp qualities,1
monitor pulp quality,check pulp quality,1
monitor pulp quality,oversee pulp quality,1
monitor pulp quality,supervise pulp quality,1
monitor pulp quality,monitoring pulp quality,1
monitor pulp quality,sand between lacquer layers,0
signal boxes,operations of signal boxes,1
signal boxes,signal boxes used in railroads,1
signal boxes,railroad signal boxes,1
signal boxes,principles of signal boxes,1
signal boxes,signal box operations,1
signal boxes,kinds of signal box,1
signal boxes,railway signal boxes,1
signal boxes,rail signal boxes,1
signal boxes,principles of railway signal boxes,1
signal boxes,signal boxes used in railways,1
signal boxes,types of signal box,1
signal boxes,display technical skills during neurological surgery,0
signal boxes,handling poultry,0
apply glaze coating,coat with glaze,1
apply glaze coating,dipping into glaze coating,1
apply glaze coating,glaze coating applying,1
apply glaze coating,applying glaze coating,1
apply glaze coating,coating with glaze,1
apply glaze coating,dip into glaze coating,1
apply glaze coating,apply paper coating,0
apply glaze coating,apply paper coatings,0
apply glaze coating,applying paper coating,0
transfer uncut audiovisual material to computer,transfer  to computer uncut audiovisual material,1
transfer uncut audiovisual material to computer,transfer unclipped audiovisual material to computer,1
transfer uncut audiovisual material to computer,transfer audiovisual uncut material to computer,1
transfer uncut audiovisual material to computer,transfer unedited audiovisual material to computer,1
recognise indicators of problem betting,identify problematic behavioural signals associated with betting,1
recognise indicators of problem betting,recognise betting problem indicators,1
recognise indicators of problem betting,be aware of negative signs of betting and act promptly,1
recognise indicators of problem betting,recognise problem betting indicators,1
recognise indicators of problem betting,recognise indicators of problem gambling,0
recognise indicators of problem betting,spot indicators of problem gambling,0
monitor fish mortality rates,fish mortality rates checking,1
monitor fish mortality rates,check fish mortality rates,1
monitor fish mortality rates,fish mortality rate monitoring,1
monitor fish mortality rates,checking fish mortality rates,1
monitor fish mortality rates,fish mortality rates monitoring,1
monitor fish mortality rates,monitoring fish mortality rates,1
monitor fish mortality rates,fish mortality rate checking,1
monitor fish mortality rates,interpret financial statements,0
monitor fish mortality rates,use of hand drill,0
monitor fish mortality rates,brood stock collecting,0
monitor fish mortality rates,check printing output,0
produce scanned images,producing scanned images,1
produce scanned images,generate scanned images,1
produce scanned images,create scanned images,1
produce scanned images,produce scanned image,1
produce scanned images,make scanned images,1
produce scanned images,produce slaked lime,0
produce scanned images,slaked lime producing,0
produce scanned images,counseling techniques,0
produce scanned images,design piers,0
manage gambling game,review gaming operations,1
manage gambling game,manage game of gambling,1
manage gambling game,conduct reviews of gamblers' profiles,1
manage gambling game,manage gambler's game,1
tend counterblow machine,watch counterblow machine,1
tend counterblow machine,watch extrusion and impactor machinery,1
tend counterblow machine,guard counterblow machine,1
tend counterblow machine,oversee extrusion and impactor machinery,1
tend counterblow machine,guard extrusion and impactor machinery,1
tend counterblow machine,oversee counterblow machine,1
tend counterblow machine,monitor extrusion and impactor machinery,1
tend counterblow machine,monitor counterblow machine,1
tend counterblow machine,tend calender machine,0
perform electrical geophysical measurements,carry out electrical geophysical measurements,1
perform electrical geophysical measurements,carrying out of electrical geophysical measurements,1
perform electrical geophysical measurements,conducting electrical geophysical measurements,1
perform electrical geophysical measurements,carrying out electrical geophysical measurements,1
perform electrical geophysical measurements,conducting of electrical geophysical measurements,1
perform electrical geophysical measurements,conduct of electrical geophysical measurements,1
perform electrical geophysical measurements,performance of electrical geophysical measurements,1
perform electrical geophysical measurements,performing of electrical geophysical measurements,1
perform electrical geophysical measurements,electrical geophysical measurements performance,1
perform electrical geophysical measurements,electrical geophysical measurements  conduct,1
perform electrical geophysical measurements,performing electrical geophysical measurements,1
perform electrical geophysical measurements,electrical geophysical measurement performance,1
perform electrical geophysical measurements,provide direction in music therapy session,0
perform electrical geophysical measurements,preparation of food overseeing,0
timing devices,devices used in timing,1
timing devices,mechanical and electric clockwork,1
timing devices,mechanical and electric time-measuring devices,1
timing devices,devices indicating time,1
timing devices,devices for timing,1
timing devices,mechanical and electric timepieces,1
timing devices,time indicating devices,1
improve students' examination skills,improve student's exam skills,1
improve students' examination skills,improve student's examination skills,1
improve students' examination skills,improve students' exam skills,1
improve students' examination skills,improve students' test skills,1
improve students' examination skills,improve students' test-writing skills,1
improve students' examination skills,undertake  forensic examinations,0
adjust physiotherapy interventions,change physiotherapy intervention,1
adjust physiotherapy interventions,re-design physiotherapy interventions,1
adjust physiotherapy interventions,alter physiotherapy intervention,1
adjust physiotherapy interventions,alter physiotherapy interventions,1
adjust physiotherapy interventions,adjust physiotherapy intervention,1
adjust physiotherapy interventions,re-evaluat physiotherapy intervention,1
web application security threats,open web application security project,1
web application security threats,OWASP,1
pattern grading,grade rules for patterns,1
pattern grading,cutting and grading of patterns,1
pattern grading,pattern cutting and grading,1
pattern grading,pattern sizing,1
pattern grading,sizing of patterns,1
pattern grading,pattern grading rules,1
pattern grading,grading of patterns,1
pattern grading,operate a cash point,0
pattern grading,hold back individuals,0
use scripting programming,,1
communicate with stakeholders to anticipate increases in demand for transport,communicate with stakeholders to anticipate increases in transport demand,1
communicate with stakeholders to anticipate increases in demand for transport,anticipate increases in demands for transport resources through communicating with stakeholders,1
communicate with stakeholders to anticipate increases in demand for transport,liaise with stakeholders to anticipate demand for transport services,1
communicate with stakeholders to anticipate increases in demand for transport,undertake communication processes to inform transport resource allocations,1
communicate with stakeholders to anticipate increases in demand for transport,anticipate transport resource demands by communicating with stakeholders,1
communicate with stakeholders to anticipate increases in demand for transport,communicate with stakeholders to anticipate transport demands,1
communicate with stakeholders to anticipate increases in demand for transport,ensure availability of sufficient transport resources to meet demand by liaising with stakeholders,1
communicate with stakeholders to anticipate increases in demand for transport,liaise with stakeholders to anticipate increases in transport demand,1
communicate with stakeholders to anticipate increases in demand for transport,communicate with stakeholders to anticipate demand for transport services,1
communicate with stakeholders to anticipate increases in demand for transport,ensure availability of sufficient transport resource to meet demand by communicating stakeholders,1
communicate with stakeholders to anticipate increases in demand for transport,liaise with stakeholders to anticipate increases in demand for transport,1
communicate with stakeholders to anticipate increases in demand for transport,communicate with mining stakeholders,0
carry out environmental audits,carry out an environmental audit,1
carry out environmental audits,carrying out environmental audits,1
carry out environmental audits,complete environmental audits,1
carry out environmental audits,oversee environmental audits,1
carry out environmental audits,undertake environmental audits,1
carry out environmental audits,make environmental audits,1
carry out environmental audits,carry out environmental action plans,0
plan nursing care,plan nursing support,1
plan nursing care,design nursing care plan,1
plan nursing care,organise nursing care,1
plan nursing care,plan nursing support plan,1
plan nursing care,arrange nursing care,1
plan nursing care,plan care support,1
stock tobacco products machines with materials,stock of tobacco products machines with materials,1
stock tobacco products machines with materials,supply tobacco products machines with materials,1
stock tobacco products machines with materials,stock tobacco products machines with material,1
stock tobacco products machines with materials,provide tobacco products machines with materials,1
stock tobacco products machines with materials,stock tobacco products machinery with materials,1
stock tobacco products machines with materials,furnish tobacco products machines with materials,1
stock tobacco products machines with materials,place tobacco products in machines,0
stock tobacco products machines with materials,place tobacco products in a machine,0
"heating, ventilation, air conditioning and refrigeration parts","electrical, plumbing and condensing systems items",1
"heating, ventilation, air conditioning and refrigeration parts","electrical, plumbing and condensing systems components",1
"heating, ventilation, air conditioning and refrigeration parts","heating, ventilation, air conditioning and refrigeration items",1
"heating, ventilation, air conditioning and refrigeration parts","heating, ventilation, air conditioning and refrigeration components",1
"heating, ventilation, air conditioning and refrigeration parts","heating, ventilation, air conditioning and heating units: ventilation, air conditioning and refrigeration elements",1
"heating, ventilation, air conditioning and refrigeration parts",monitoring the concrete curing process,0
repair vessel electrical systems,repair electrical systems of vessels,1
repair vessel electrical systems,perform repairs of ship electrical systems,1
repair vessel electrical systems,repair ship electrical systems,1
repair vessel electrical systems,fix ship electrical systems,1
repair vessel electrical systems,repair electrical systems of ships,1
repair vessel electrical systems,perform repairs of vessel electrical systems,1
repair vessel electrical systems,undertake repairs on ship electrical systems,1
repair vessel electrical systems,undertake repairs on vessel electrical systems,1
repair vessel electrical systems,fix vessel electrical systems,1
repair vessel electrical systems,dispose of confectionery products,0
repair vessel electrical systems,test circuits of signals,0
install fire sprinklers,fire sprinkler fitting,1
install fire sprinklers,installing fire sprinklers,1
install fire sprinklers,installation of fire sprinklers,1
install fire sprinklers,fit fire sprinklers,1
install fire sprinklers,fire sprinkler installation,1
install fire sprinklers,fitting of fire sprinklers,1
install fire sprinklers,fitting fire sprinklers,1
assess felled timber volume,measure volume of felled timber,1
assess felled timber volume,measuring volume of felled timber,1
assess felled timber volume,felled timber volume assessing,1
assess felled timber volume,measuring felled timber volume,1
assess felled timber volume,assessing volume of felled timber,1
assess felled timber volume,assess volume of felled timber,1
assess felled timber volume,measure felled timber volume,1
assess felled timber volume,assessing felled timber volume,1
assess felled timber volume,felled timber volume measuring,1
assess felled timber volume,assess felled timber quality,0
assess felled timber volume,assess quality of felled timber,0
assess felled timber volume,assessing felled timber quality,0
assess felled timber volume,felled timber quality assessing,0
ensure correct use of bakery equipment,maintain correct use of bakery equipment,1
ensure correct use of bakery equipment,establish correct use of bakery equipment,1
ensure correct use of bakery equipment,ensure the correct use of bakery equipment,1
ensure correct use of bakery equipment,assure correct use of bakery equipment,1
ensure correct use of bakery equipment,secure correct use of bakery equipment,1
ensure correct use of bakery equipment,ensure correct use of a bakery equipment,1
ensure correct use of bakery equipment,use correct equipment and tools,0
ensure correct use of bakery equipment,ensure appropriate deck equipment on vessel,0
seafood processing,process seafood,1
seafood processing,process fish,1
seafood processing,typology of seafood processing,1
seafood processing,aquatic food resource processing,1
seafood processing,seafood processing,1
seafood processing,processing seafood,1
seafood processing,processing of aquatic food resources,1
seafood processing,range of seafood processing,1
seafood processing,types of seafood processing,1
seafood processing,fish processing,1
seafood processing,processing fish,1
seafood processing,use word processing,0
attend events,attending events,1
attend events,attend shows,1
attend events,attend the event,1
attend events,visit exhibitions,1
attend events,attend meetings,0
understand spoken danish,comprehend spoken Danish,1
understand spoken danish,understanding spoken Danish,1
understand spoken danish,listen to Danish,1
understand spoken danish,make sense of spoken Danish,1
understand spoken danish,interpret spoken Danish,1
understand spoken danish,understand Danish speech,1
understand spoken danish,understand spoken spanish,0
understand spoken danish,printed goods production,0
understand spoken danish,diagnose and treat neurological disorders,0
compare insurance products,perform comparison of insurance products,1
compare insurance products,examine insurance products,1
compare insurance products,contrast insurance products,1
compare insurance products,manage mine ventilation,0
monitor merchandise delivery,monitor a merchandise delivery,1
monitor merchandise delivery,watch merchandise delivery,1
monitor merchandise delivery,monitor merchandise deliveries,1
monitor merchandise delivery,view merchandise delivery,1
monitor merchandise delivery,monitoring merchandise delivery,1
monitor merchandise delivery,oversee merchandise delivery,1
monitor merchandise delivery,supervise merchandise delivery,1
monitor merchandise delivery,calculate needs for construction supplies,0
monitor merchandise delivery,pack charcoal,0
develop aquaculture hatchery business plan,aquaculture hatchery business plan developing,1
develop aquaculture hatchery business plan,aquaculture hatchery business plans implementing,1
develop aquaculture hatchery business plan,implementing aquaculture hatchery business plan,1
develop aquaculture hatchery business plan,implement aquaculture hatchery business plan,1
develop aquaculture hatchery business plan,develop aquaculture hatchery business plan,1
develop aquaculture hatchery business plan,aquaculture hatchery business plan implementing,1
develop aquaculture hatchery business plan,developing aquaculture hatchery business plan,1
develop aquaculture hatchery business plan,aquaculture hatchery business plans developing,1
develop aquaculture hatchery business plan,be fluent in Urdu,0
read technical datasheet,read technical datasheets,1
read technical datasheet,reading technical datasheet,1
read technical datasheet,examine technical datasheet,1
read technical datasheet,read technical dossier,1
read technical datasheet,read technical data sheet,1
read technical datasheet,study technical datasheet,1
read technical datasheet,ensure equipment is suitably prepared for use in veterinary surgical procedures,0
check construction compliance,checking construction compliance,1
check construction compliance,ensure construction compliance,1
check construction compliance,construction compliance check,1
check construction compliance,confirm construction compliance,1
check construction compliance,verify construction compliance,1
maintain mould parts,repairing mould parts,1
maintain mould parts,repairing of mold parts,1
maintain mould parts,maintaining of mould parts,1
maintain mould parts,mold parts repair,1
maintain mould parts,mold parts maintenance,1
maintain mould parts,mould parts repair,1
maintain mould parts,mold part repair,1
maintain mould parts,maintaining mould parts,1
maintain mould parts,maintenance of mould parts,1
maintain mould parts,mould parts maintenance,1
maintain mould parts,mould part repair,1
maintain mould parts,repairing mold parts,1
maintain mould parts,repairing of mould parts,1
maintain mould parts,maintenance of mold parts,1
maintain mould parts,maintaining of mold parts,1
maintain mould parts,maintaining mold parts,1
maintain mould parts,maintain mechanical parts,0
maintain mould parts,maintaining condition of stock,0
check dining room cleanliness,check dining room for cleanliness,1
check dining room cleanliness,check cleanliness in dining room,1
check dining room cleanliness,verify cleanliness and sanitation in the dining hall,1
check dining room cleanliness,inspect cleanliness in eating areas,1
check dining room cleanliness,methods for aquatic species identification and classification,0
cosmetics industry,cosmetics manufacture,1
cosmetics industry,cosmetics company,1
cosmetics industry,cosmetics industries,1
cosmetics industry,cosmetics trader,1
cosmetics industry,the cosmetics industry,1
cosmetics industry,cosmetics business,1
cosmetics industry,cosmetics ingredient,0
assess licence applications,appraise licence applications,1
assess licence applications,judge licence applications,1
assess licence applications,apprise licence applications,1
assess licence applications,appraise permit applications,1
assess licence applications,check licence applications,1
assess licence applications,apprise permit applications,1
assess licence applications,check permit applications,1
assess licence applications,judge permit applications,1
use word processing software,using word processor,1
use word processing software,use text processing program,1
use word processing software,able to use using word processing software,1
use word processing software,use document processing program,1
use word processing software,make use of word processing software,1
use word processing software,produce text files,1
use word processing software,apply word processing software,1
use word processing software,utilise word processing software,1
use word processing software,use word processing,1
use word processing software,type text,1
use word processing software,use word processor,1
identify ict user needs,ICT user needs identification techniques,1
bend staves,bending staves,1
bend staves,shape staves,1
bend staves,form staves,1
bend staves,curve staves,1
bend staves,bow staves,1
bend staves,bend stave,1
bend staves,endure stress,0
develop strategies for accessibility,develop accessibility strategies,1
develop strategies for accessibility,develop a strategy for accessibility,1
develop strategies for accessibility,implement a scheme to enable accessibility,1
develop strategies for accessibility,create a plan of action for accessibility,1
market farm products,farm product marketing,1
market farm products,promote farm products,1
market farm products,farm products marketing,1
market farm products,marketing farm products,1
market farm products,promoting farm products,1
market farm products,farm products promoting,1
market farm products,farm product promoting,1
communicate with banking professionals,communicate with bankers,1
communicate with banking professionals,communicate with investors,1
communicate with banking professionals,communicate with financiers,1
communicate with banking professionals,communicate with professional bankers,1
communicate with banking professionals,communicate with brokers,1
communicate with banking professionals,liaising with mine professionals,0
fish identification and classification,methods for aquatic species identification and classification,1
fish identification and classification,typology for fish identification and classification,1
fish identification and classification,techniques in fish identification and classification,1
fish identification and classification,methods for fish identification and classification,1
fish identification and classification,typology for aquatic species identification and classification,1
fish identification and classification,techniques in aquatic species identification and classification,1
fish identification and classification,aquatic species identification and classification,1
fish identification and classification,identification and classification of fish,1
fish identification and classification,medication classification,0
fish identification and classification,give emergency advice,0
fish identification and classification,operate cutting instruments,0
preventative measures against pests,preventative actions against pests,1
preventative measures against pests,preventative measures against pest,1
preventative measures against pests,pest preventative measures,1
preventative measures against pests,preventative measure against pests,1
preventative measures against pests,pest infestation prevention,1
preventative measures against pests,keeping forest inventory,0
calculate costs of repair operations,measure costs of repair operations,1
calculate costs of repair operations,calculating costs of repair operations,1
calculate costs of repair operations,calculate the costs of repair operations,1
calculate costs of repair operations,count costs of repair operations,1
calculate costs of repair operations,forecast costs of repair operations,1
calculate costs of repair operations,tally costs of repair operations,1
calculate costs of repair operations,calculate the cost of repair operations,1
calculate costs of repair operations,deliver arts coaching sessions,0
types of boring heads,brands of boring heads,1
types of boring heads,"brands of drill, gouging and probing heads",1
types of boring heads,varieties of boring heads,1
types of boring heads,"varieties of drill, gouging and probing heads",1
types of boring heads,boring heads format,1
types of boring heads,categories of boring heads,1
types of boring heads,"categories of drill, gouging and probing heads",1
types of boring heads,"drill, gouging and probing heads format",1
types of boring heads,types of brushes,0
types of boring heads,types of glass coating,0
types of boring heads,distribute a pensions,0
types of boring heads,techniques of practice in expressive arts therapy,0
types of boring heads,set up mooring system for aquaculture cage,0
use traditional carpet making techniques,utilise traditional techniques for carpet-making,1
use traditional carpet making techniques,utilize traditional carpet-making techniques,1
use traditional carpet making techniques,utilize traditional techniques for carpet-making,1
use traditional carpet making techniques,use traditional techniques for carpet-making,1
use traditional carpet making techniques,use techniques for traditional carpet-making,1
use traditional carpet making techniques,utilise traditional carpet-making techniques,1
use traditional carpet making techniques,use techniques for hand-made carpets manufacture,1
use traditional carpet making techniques,use traditional illustration techniques,0
use traditional carpet making techniques,use techniques for traditional illustration,0
advise on mental health,provide counselling on mental health,1
advise on mental health,advise on aspects of mental health,1
advise on mental health,offer counselling on mental health,1
advise on mental health,advise on psychic health,1
advise on mental health,counsel on mental health,1
advise on mental health,advise on health-promoting aspects,1
advise on mental health,electric power systems specifying,0
clean vending machines,clean a vending machine,1
clean vending machines,clean vending machinery,1
clean vending machines,cleaning vending machines,1
clean vending machines,tidy vending machines,1
clean vending machines,cleanse vending machines,1
clean vending machines,tidy up vending machines,1
clean vending machines,clear vending machines,1
clean vending machines,calender machines tending,0
clean vending machines,tending calender machine,0
inspect agricultural fields,crops and fields inspecting,1
inspect agricultural fields,inspect crops and fields,1
inspect agricultural fields,inspecting crops and fields,1
inspect agricultural fields,agricultural field inspecting,1
inspect agricultural fields,agricultural fields inspecting,1
inspect agricultural fields,crop and field inspecting,1
inspect agricultural fields,inspecting agricultural fields,1
inspect agricultural fields,inspect airfields,0
inspect agricultural fields,agricultural sector guidelines,0
inspect agricultural fields,agricultural sector policies,0
galvanise metal workpiece,protect metal finished products,1
galvanise metal workpiece,trigger metal workpiece,1
galvanise metal workpiece,electrify metal workpiece,1
galvanise metal workpiece,spark metal workpiece,1
galvanise metal workpiece,coat metal finished products,1
galvanise metal workpiece,energise metal workpiece,1
galvanise metal workpiece,hot dip metal finished products,1
galvanise metal workpiece,electro galvanise metal finished products,1
galvanise metal workpiece,bonderise metal workpiece,0
galvanise metal workpiece,coating metal workpieces,0
operate handheld devices,operate handheld device,1
operate handheld devices,use handheld devices,1
