title1,title2,similarity
"rental service representative in machinery, equipment and tangible goods",senior technical sales representative in office machinery and equipment,0
"rental service representative in machinery, equipment and tangible goods",office machinery and equipment  inside technical sales representative,0
"rental service representative in machinery, equipment and tangible goods",rental service representative in water transport equipment,0
"rental service representative in machinery, equipment and tangible goods",sewage plant technician,0
"rental service representative in machinery, equipment and tangible goods",regimental corporal,0
"rental service representative in machinery, equipment and tangible goods",philosophy student,0
"rental service representative in machinery, equipment and tangible goods",vessel electronics design technician,0
"rental service representative in machinery, equipment and tangible goods",aeroplane refueller,0
"rental service representative in machinery, equipment and tangible goods",braille typist,0
"rental service representative in machinery, equipment and tangible goods",shipping agent,0
"rental service representative in machinery, equipment and tangible goods",interior architect,0
"rental service representative in machinery, equipment and tangible goods",bike store manager,0
mine surveyor,mine records keeper,1
mine surveyor,planner of mining operations,1
mine surveyor,mine operations surveyor,1
mine surveyor,mine planning surveyor,1
mine surveyor,mine plan maker,1
mine surveyor,mining surveyor,1
mine surveyor,mine surveyors,1
mine surveyor,marine surveyor,0
mine surveyor,marine surveyors,0
mine surveyor,field surveyor,0
mine surveyor,health policy officer,0
mine surveyor,glass moulder,0
mine surveyor,assistant import specialist in clothing and footwear,0
mine surveyor,environmental engineering adviser,0
food safety specialist,food compliance manager (food safety),1
food safety specialist,food safety consultant,1
food safety specialist,food safety controller,1
food safety specialist,trainee food safety specialist,1
food safety specialist,assistant food safety specialist,1
food safety specialist,food safety advisor,1
food safety specialist,food quality controller,1
food safety specialist,food production quality controller,1
food safety specialist,technical manager for food safety,1
food safety specialist,food scientist,1
food safety specialist,food safety monitor,1
food safety specialist,food safety technician,1
food safety specialist,food hygiene specialist,1
food safety specialist,senior food safety specialist,1
food safety specialist,HACCP compliance manager,1
food safety specialist,personal safety specialist,0
food safety specialist,food research specialist,0
food safety specialist,food labelling specialist,0
food safety specialist,board saw specialist,0
food safety specialist,health and safety specialist,0
food safety specialist,drafting specialist,0
food safety specialist,foreclosure specialist,0
food safety specialist,actuarial clerks,0
food safety specialist,public finance officer,0
food safety specialist,obstetric nurse,0
food safety specialist,ticket issuing clerk,0
food safety specialist,deputy stage manager,0
food safety specialist,dentistry docent,0
food safety specialist,IT engineering technician,0
food safety specialist,vocational teacher of marketing and business,0
land-based machinery technician,land-based machinery mechanic,1
land-based machinery technician,land-based machinery technicians,1
land-based machinery technician,landbased machinery technician,1
land-based machinery technician,machinery lube technician,0
land-based machinery technician,resource administrator,0
land-based machinery technician,garden centre shop assistant,0
bus driver,bus driving operator,1
bus driver,private bus operator,1
bus driver,public bus driver,1
bus driver,transit bus driver,1
bus driver,intercity bus driver,1
bus driver,passenger driver,1
bus driver,schoolbus driver,1
bus driver,coach driver,1
bus driver,private coach driver,1
bus driver,driver of bus,1
bus driver,public bus operator,1
bus driver,public service vehicle operator,1
bus driver,international bus driver,1
bus driver,touristic bus driver,1
bus driver,bus operator,1
bus driver,cab driver,0
bus driver,bus trimmer,0
bus driver,driver,0
bus driver,guided bus driver,0
bus driver,bull riveter,0
bus driver,bus designer,0
bus driver,trolley bus driver,0
bus driver,salon therapist,0
bus driver,radio engineer,0
bus driver,university teacher of medicine,0
bus driver,manufacturing engineering expert,0
bus driver,customer transit agent,0
bus driver,paper mill operations controller,0
bus driver,KP,0
bus driver,science officer,0
import export manager in meat and meat products,trainee import export manager in meat and meat products,1
import export manager in meat and meat products,senior export manager in meat and meat products,1
import export manager in meat and meat products,graduate import export manager in meat and meat products,1
import export manager in meat and meat products,senior import export manager in meat and meat products,1
import export manager in meat and meat products,trainee import manager in meat and meat products,1
import export manager in meat and meat products,graduate import manager in meat and meat products,1
import export manager in meat and meat products,senior import manager in meat and meat products,1
import export manager in meat and meat products,customs compliance manager in meat and meat products,1
import export manager in meat and meat products,assistant export manager in meat and meat products,1
import export manager in meat and meat products,assistant import export manager in meat and meat products,1
import export manager in meat and meat products,international trade compliance manager in meat and meat products,1
import export manager in meat and meat products,assistant import manager in meat and meat products,1
import export manager in meat and meat products,international trade manager in meat and meat products,1
import export manager in meat and meat products,graduate export manager in meat and meat products,1
import export manager in meat and meat products,trainee export manager in meat and meat products,1
import export manager in meat and meat products,import export manager in metals and metal ores,0
import export manager in meat and meat products,import export specialist in meat and meat products,0
import export manager in meat and meat products,meat and meat products logistics manager,0
import export manager in meat and meat products,meat and meat products distribution manager,0
import export manager in meat and meat products,import export manager in chemical products,0
import export manager in meat and meat products,senior import export manager in metals and metal ores,0
import export manager in meat and meat products,trainee import export manager in metals and metal ores,0
import export manager in meat and meat products,passport issuing administrator,0
import export manager in meat and meat products,passenger services agent,0
import export manager in meat and meat products,para-rescue diver,0
import export manager in meat and meat products,meter service technician,0
import export manager in meat and meat products,non-woven yarn worker,0
import export manager in meat and meat products,restaurant host,0
import export manager in meat and meat products,sewing worker,0
import export manager in meat and meat products,drapers specialised seller,0
housing policy officer,policy officer,1
housing policy officer,housing policy researcher,1
housing policy officer,housing policy advisor,1
housing policy officer,"policy officer, planning and housing",1
housing policy officer,affordable housing policy officer,1
housing policy officer,senior housing policy officer,1
housing policy officer,housing policy and strategy officer,1
housing policy officer,housing policy analyst,1
housing policy officer,housing policy development officer,1
housing policy officer,public housing officer,0
housing policy officer,housing officer,0
housing policy officer,housing support officer,0
housing policy officer,"policy officer, labour",0
housing policy officer,nitrator operator,0
housing policy officer,chemicals engineer,0
housing policy officer,art department supervisor,0
housing policy officer,cosmetics and perfume salesperson,0
housing policy officer,assistant import specialist in metals and metal ores,0
head chef,executive chef,1
head chef,industrial head chef,1
head chef,sous chef,1
head chef,master kitchen manager,1
head chef,patron cuisinier,1
head chef,managing partner head chef,1
head chef,master Chef,1
head chef,chef de cuisine,1
head chef,head of kitchen,1
head chef,kitchen manager,1
head chef,master chef,1
head chef,head pastry chef,0
head chef,chief guard,0
head chef,guard chief,0
head chef,chief editor,0
head chef,fish chef,0
head chef,tissue paper perforating and rewinding specialist,0
head chef,search engine marketing specialist,0
head chef,piping calculation engineer,0
head chef,promo boy,0
head chef,overhead line worker,0
head chef,vehicle booking team leader,0
nonwoven filament machine operator,non woven filament machine operator,1
nonwoven filament machine operator,nonwoven filament machinist,1
nonwoven filament machine operator,non-woven filament machine operator,1
nonwoven filament machine operator,non-woven yarn worker,1
nonwoven filament machine operator,nonwoven yarn worker,1
nonwoven filament machine operator,non woven yarn worker,1
nonwoven filament machine operator,nonwoven machine operator,0
nonwoven filament machine operator,nonwoven staple machine operator,0
nonwoven filament machine operator,nonwoven staple machine operators,0
nonwoven filament machine operator,horse and pony worker,0
nonwoven filament machine operator,hull and machinery surveyor,0
nonwoven filament machine operator,bus trimmer,0
head of higher education institutions,rector for higher education institutions,1
head of higher education institutions,university chancellor,1
head of higher education institutions,rector of higher education,1
head of higher education institutions,inspector of education institutions,0
head of higher education institutions,grants management officer,0
head of higher education institutions,web content administrators,0
insulation supervisor,cavity wall insulation installation supervisor,1
insulation supervisor,insulation installers supervisor,1
insulation supervisor,loft insulation installation supervisor,1
insulation supervisor,solid wall insulation installation supervisor,1
insulation supervisor,supervisor of installation of insulation,1
insulation supervisor,supervisor of insulation materials installation,1
insulation supervisor,supervisor of installation of insulating materials,1
insulation supervisor,animation supervisor,0
insulation supervisor,construction supervisor,0
insulation supervisor,lift installation supervisor,0
insulation supervisor,submarine engineering technologist,0
insulation supervisor,paediatrics docent,0
insulation supervisor,mechatronic equipment fabricator,0
insulation supervisor,securities administrators,0
dismantling engineer,disassembly planner,1
dismantling engineer,dismantling planner,1
dismantling engineer,dismantling manager,1
dismantling engineer,drilling engineer,0
dismantling engineer,field kiln operator,0
dismantling engineer,lifestyle vlogger,0
insurance claims handler,claims adjuster,1
insurance claims handler,claims service supervisor,1
insurance claims handler,insurance claims inspector,1
insurance claims handler,contract claims examiner,1
insurance claims handler,travelling insurance assessor,1
insurance claims handler,casualty insurance adjuster,1
insurance claims handler,claims handler,1
insurance claims handler,insurance claims consultant,1
insurance claims handler,claims analyst,1
insurance claims handler,claims examiner,1
insurance claims handler,insurance claims officer,1
insurance claims handler,insurance claims processor,1
insurance claims handler,insurance claims examiner,1
insurance claims handler,claims consultant,1
insurance claims handler,claims processor,1
insurance claims handler,claims representative,1
insurance claims handler,civil damages inspector,1
insurance claims handler,claims inspector,1
insurance claims handler,property and casualty insurance claims examiner,1
insurance claims handler,insurance claims assessor,1
insurance claims handler,insurance claims analyst,1
insurance claims handler,insurance claims clerk,0
insurance claims handler,insurance claims director,0
insurance claims handler,insurance adviser,0
insurance claims handler,head of insurance claims office,0
insurance claims handler,insurance claims coordinator,0
insurance claims handler,insurance clerk,0
insurance claims handler,insurance assistant,0
insurance claims handler,insurance appraiser,0
insurance claims handler,insurance examiners,0
insurance claims handler,insurance collector,0
insurance claims handler,shop manager butchery,0
insurance claims handler,mathematics lector,0
insurance claims handler,antiques shop manager,0
insurance claims handler,supply chain officer,0
insurance claims handler,sparkling machine operator,0
insurance claims handler,e-learning architect,0
insurance claims handler,theatre tech,0
insurance claims handler,pension plans clerk,0
insurance claims handler,maritime instructor,0
insurance claims handler,pyrotechnic operator and choreographer,0
insurance claims handler,database design engineer,0
clothing development manager,sample room manager,1
clothing development manager,clothing manager,1
clothing development manager,clothes product developer,1
clothing development manager,apparel product developer,1
clothing development manager,clothing product manager,1
clothing development manager,category development manager,0
clothing development manager,business development manager,0
clothing development manager,assistant logistics manager,0
clothing development manager,cosmetology vocational teacher,0
clothing development manager,interior decoration salesperson,0
nitroglycerin separator operator,nitroglycerin separator worker,1
nitroglycerin separator operator,chemical equipment operative,1
nitroglycerin separator operator,nitroglycerin-separator worker,1
nitroglycerin separator operator,nitroglycerin-separator operator,1
nitroglycerin separator operator,chemical equipment operator,1
nitroglycerin separator operator,gravity separator operator,1
nitroglycerin separator operator,nitroglycerin separator operative,1
nitroglycerin separator operator,nitro-separator operative,1
nitroglycerin separator operator,chemical equipment worker,1
nitroglycerin separator operator,nitroglycerin- separator operative,1
nitroglycerin separator operator,nitro-separator operator,1
nitroglycerin separator operator,nitroglycerin gravity separator,1
nitroglycerin separator operator,nitroglycerin-separator tender,1
nitroglycerin separator operator,nitroglycerin separator tender,1
nitroglycerin separator operator,nitroglycerin production operator,0
nitroglycerin separator operator,nitroglycerin production operative,0
nitroglycerin separator operator,nitroglycerin-nitrator operator,0
nitroglycerin separator operator,nitroglycerin nitrator operator,0
nitroglycerin separator operator,plant monitoring operator,0
nitroglycerin separator operator,steam turbine monitoring operator,0
nitroglycerin separator operator,tetryl-nitrator operator,0
nitroglycerin separator operator,specialist sensor engineer,0
nitroglycerin separator operator,radiotherapy technologist,0
nitroglycerin separator operator,customs compliance manager in electronic and telecommunications equipment and parts,0
nitroglycerin separator operator,vocational instructor in business management,0
nitroglycerin separator operator,rights and publishing manager,0
nitroglycerin separator operator,HVAC systems technician,0
nitroglycerin separator operator,pipeline division supervisor,0
biomedical engineer,biomedical engineering specialist,1
biomedical engineer,biomedical technology engineering specialist,1
biomedical engineer,biomedical technology engineering consultant,1
biomedical engineer,BME specialist,1
biomedical engineer,BME adviser,1
biomedical engineer,biomedical technology engineering expert,1
biomedical engineer,biomedical technology engineering adviser,1
biomedical engineer,bio-medical engineer,1
biomedical engineer,BME expert,1
biomedical engineer,biomedical engineering consultant,1
biomedical engineer,biomedical engineering expert,1
biomedical engineer,BME consultant,1
biomedical engineer,biomedical engineering adviser,1
biomedical engineer,biomedical technology engineer,1
biomedical engineer,biochemical engineer,0
biomedical engineer,bio-chemical engineer,0
biomedical engineer,biological engineer,0
biomedical engineer,biomedical systems engineer,0
biomedical engineer,bionic engineer,0
biomedical engineer,biofuel engineer,0
biomedical engineer,clinical engineer,0
biomedical engineer,book and stationery salesperson,0
biomedical engineer,machine repairer,0
biomedical engineer,porcelain caster,0
biomedical engineer,e-banking product executive,0
biomedical engineer,ICT sysadmin,0
biomedical engineer,car shop manager,0
biomedical engineer,safety manager on  construction sites,0
legal guardian,financial guardian,1
legal guardian,department of work and pensions appointee,1
legal guardian,foster parent,1
legal guardian,court-appointed guardian,1
legal guardian,intervenor,1
legal guardian,conservator,1
legal guardian,youth legal guardian,1
legal guardian,legal parent,1
legal guardian,welfare guardian,1
legal guardian,parks guardian,0
legal guardian,paralegal,0
legal guardian,legal assistant,0
legal guardian,legal aide,0
legal guardian,bathroom shop manager,0
legal guardian,meat shop manager,0
legal guardian,children's nurse,0
legal guardian,polymers quality engineer,0
legal guardian,music conservatory instructor,0
weaver,needle loom operator,1
weaver,weaving foreman,1
weaver,weaving machine operator,1
weaver,manufacturing weaver,1
weaver,loom operator,1
weaver,needle loom weaver,1
weaver,weaving machinist,1
weaver,textile weaver,1
weaver,weaving forewoman,1
weaver,cloth weaver,1
weaver,weaving inspector,1
weaver,fabric weaver,1
weaver,weavers,0
weaver,rug weaver,0
weaver,paver,0
weaver,reed weaver,0
weaver,waiter,0
weaver,lifesaver,0
weaver,practitioner of optometry,0
weaver,circle buffer,0
weaver,laundrette operator,0
weaver,maid,0
weaver,prosthetist-orthotist,0
weaver,graduate import specialist in fruit and vegetables,0
tile fitter,tile setter,1
tile fitter,tiling worker,1
tile fitter,floor tiler,1
tile fitter,marble setter,1
tile fitter,tile installer,1
tile fitter,wall tiler,1
tile fitter,tiler,1
tile fitter,surface tiler,1
tile fitter,mosaic tiler,1
tile fitter,tilefitter,1
tile fitter,tilesetter,1
tile fitter,tool fitter,0
tile fitter,tyre fitter,0
tile fitter,pipe fitter,0
tile fitter,textile knitter,0
tile fitter,welder-fitter,0
tile fitter,make-up artist,0
tile fitter,mercers store manager,0
tile fitter,assistant sales  account manager,0
tile fitter,wholesale trader in meat and meat products,0
tile fitter,acoustics engineer,0
tile fitter,sensor design engineer,0
shoe and leather accessories shop manager,cobblers store manager,1
shoe and leather accessories shop manager,footwear store manager,1
shoe and leather accessories shop manager,shoe shop manager,1
shoe and leather accessories shop manager,leather accessories shop manager,1
shoe and leather accessories shop manager,cobblers shop manager,1
shoe and leather accessories shop manager,leather accessories store manager,1
shoe and leather accessories shop manager,shop manager (footwear and leather goods retail store),1
shoe and leather accessories shop manager,shoe store manager,1
shoe and leather accessories shop manager,shoe and leather accessories store manager,1
shoe and leather accessories shop manager,computer and accessories shop manager,0
shoe and leather accessories shop manager,shoe and leather accessories salesperson,0
shoe and leather accessories shop manager,mobile devices and accessories shop manager,0
shoe and leather accessories shop manager,computer and accessories store manager,0
shoe and leather accessories shop manager,motor vehicle engine assembler,0
shoe and leather accessories shop manager,optical element coater,0
shoe and leather accessories shop manager,flood prevention engineering technician,0
shoe and leather accessories shop manager,light vehicle maintenance manager,0
shoe and leather accessories shop manager,oil refinery control room operator,0
tour operators manager,package tour services manager,1
tour operators manager,package tour manager,1
tour operators manager,tour operator manager,1
tour operators manager,package tour operator manager,1
tour operators manager,port operations manager,0
tour operators manager,train operations manager,0
tour operators manager,meat and meat products store manager,0
tour operators manager,sociology teacher,0
bee breeder,bee rearer,1
bee breeder,bees breeder,1
bee breeder,bee breeders,1
bee breeder,bee specialist,1
bee breeder,meter reader,0
bee breeder,belt brander,0
bee breeder,rental sales desk supervisor in recreational and sports goods,0
bee breeder,timber floor layer,0
legal administrative assistant,collection legal assistant,1
legal administrative assistant,legal executive secretary,1
legal administrative assistant,certified legal secretary specialist,1
legal administrative assistant,legal secretary,1
legal administrative assistant,certified legal secretary,1
legal administrative assistant,legal administrative secretary,1
legal administrative assistant,paralegal assistant,1
legal administrative assistant,legal administrative assistant,1
legal administrative assistant,litigation legal assistant,1
legal administrative assistant,certified legal assistant,1
legal administrative assistant,litigation secretary,1
legal administrative assistant,legal assistant,1
legal administrative assistant,medical administrative assistant,0
legal administrative assistant,administrative assistant,0
legal administrative assistant,office administrative assistant,0
legal administrative assistant,administrative office assistant,0
legal administrative assistant,public administration legal assistant,0
legal administrative assistant,executive administrative assistant,0
legal administrative assistant,assistant import manager in machine tools,0
legal administrative assistant,assets managers,0
legal administrative assistant,mine operations supervisor,0
legal administrative assistant,packing machinery inspector,0
legal administrative assistant,commercial real estate agents,0
